word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,web_corpus_freq,arousal_std,valence_std,dominance_std,concretness_std,imageability_std,familiarity_std,aoa_std,semsize_std,gender_std,Words
stance,6,4.514,5.618,6.529,3.618,3.886,4.706,5.529,4.647,5.0,0,3257959.0,2.383,1.351,1.959,1.783,1.617,1.741,1.169,1.570,1.111,stance
stand,5,4.188,5.333,6.323,4.226,4.853,5.933,2.647,3.781,4.367,0,46292709.0,1.944,0.876,1.446,1.698,1.309,1.289,1.026,1.053,0.752,stand
staple,6,2.765,5.091,5.471,6.147,5.758,5.455,3.882,2.412,4.471,1,1893759.0,1.664,0.753,1.169,1.331,1.478,1.458,1.182,1.396,0.848,staple
stapler,7,3.0,4.853,5.765,6.743,6.647,6.029,3.543,2.114,4.647,0,495009.0,1.707,0.493,1.733,0.498,0.836,1.276,0.840,1.008,0.967,stapler
star,4,6.6,7.343,5.382,6.229,6.588,6.324,1.971,4.6,2.588,1,122498186.0,1.377,1.308,1.925,1.197,0.943,0.962,0.910,2.207,1.166,star
stare,5,5.387,3.781,4.656,4.065,4.781,5.556,3.152,3.469,4.067,0,1925618.0,1.735,1.340,1.796,1.190,1.218,1.133,0.892,1.323,1.237,stare
starfish,8,4.171,5.706,5.697,6.286,6.647,5.0,2.771,2.265,2.912,0,698823.0,2.249,1.226,1.623,1.322,0.723,1.985,1.221,1.171,1.172,starfish
stark,5,4.267,4.129,4.871,3.655,2.7,3.794,5.968,3.533,4.643,0,3479265.0,1.914,1.519,1.601,1.396,1.441,1.875,1.062,1.648,1.076,stark
start,5,5.129,6.29,6.548,3.182,3.438,6.407,2.258,4.233,4.074,0,161913408.0,1.680,1.300,1.364,1.445,1.619,0.913,0.879,1.407,0.466,start
startle,7,6.281,3.686,3.677,3.727,4.457,4.818,4.571,3.706,3.485,0,193590.0,2.308,1.090,1.727,1.483,1.762,1.641,1.202,1.582,0.925,startle
starve,6,4.6,1.857,3.429,5.206,4.686,6.212,3.583,4.324,3.743,0,540312.0,2.610,1.417,2.233,1.641,1.909,1.037,1.382,1.905,1.338,starve
starving,8,4.813,2.03,3.0,3.75,4.788,6.182,2.97,5.424,4.031,0,1176943.0,2.530,1.446,1.891,1.601,1.903,1.242,0.904,1.393,0.770,starving
statue,6,4.029,5.5,5.441,6.559,6.188,5.719,3.088,5.303,4.647,0,4753368.0,2.036,1.036,1.479,0.881,1.210,1.644,0.702,1.381,1.370,statue
status,6,5.5,5.706,5.971,3.059,3.471,5.344,5.143,5.118,4.969,0,128994593.0,1.719,1.226,2.007,1.798,1.595,1.553,1.312,1.022,1.447,status
statute,7,3.484,5.0,5.067,4.464,3.643,3.636,5.867,4.556,4.633,0,9035618.0,1.812,1.051,1.861,1.762,2.191,2.158,1.455,1.227,0.983,statute
stay,4,3.471,5.667,4.829,3.5,2.943,6.094,2.4,3.912,3.912,0,80694073.0,2.018,1.119,1.715,1.632,1.433,0.980,1.047,1.269,0.887,stay
steak,5,5.273,6.091,6.065,6.633,6.552,5.621,4.094,3.406,5.931,0,4413680.0,2.609,2.065,1.564,0.547,0.723,1.298,1.155,1.558,0.785,steak
steal,5,5.706,2.235,5.97,4.029,4.546,5.818,3.265,4.471,4.912,0,6257493.0,2.230,0.909,2.329,1.706,1.616,1.466,1.267,1.613,0.742,steal
stealth,7,5.313,5.188,6.0,2.839,3.781,4.394,5.5,3.677,4.563,0,3431519.0,1.776,1.509,1.826,1.394,1.691,1.890,1.144,1.429,0.998,stealth
steam,5,4.419,5.281,5.031,5.424,5.594,5.633,3.438,3.594,4.321,0,11141309.0,1.810,0.800,1.380,1.518,1.271,1.224,0.998,1.497,0.928,steam
steel,5,3.727,4.912,5.455,6.364,5.794,5.455,4.294,4.424,5.303,0,49452604.0,2.164,1.358,1.760,1.010,1.346,1.597,1.340,1.577,1.218,steel
