word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,web_corpus_freq,arousal_std,valence_std,dominance_std,concretness_std,imageability_std,familiarity_std,aoa_std,semsize_std,gender_std,Words
abattoir,8,4.2,2.864,4.333,5.455,4.391,2.382,6.76,4.652,5.391,0,160074.0,2.400,1.740,1.285,1.900,2.121,1.799,0.427,1.549,1.170,abattoir
abbey,5,3.125,5.781,4.667,5.906,5.344,3.324,5.177,5.121,3.303,0,4224864.0,2.342,1.268,1.551,1.508,1.881,1.810,1.339,1.629,1.193,abbey
abbreviate,10,3.273,5.25,5.235,3.286,3.177,5.121,5.543,2.667,3.971,0,140105.0,1.582,1.031,1.238,1.733,1.689,1.838,1.130,1.700,0.954,abbreviate
abdicate,8,4.194,3.767,4.419,3.367,2.516,3.971,6.233,4.679,5.167,0,124123.0,1.941,1.383,2.182,1.853,1.521,2.077,0.844,1.441,1.186,abdicate
abdication,10,3.846,3.88,4.8,3.292,2.571,3.097,6.407,5.083,4.571,0,128143.0,2.282,1.608,1.960,1.620,1.294,2.022,0.913,1.351,1.015,abdication
abdomen,7,4.714,5.486,5.441,6.606,6.235,4.636,5.457,3.529,4.6,0,1490684.0,2.092,0.967,1.666,0.649,1.165,1.738,1.179,1.480,1.020,abdomen
abdominal,9,3.875,5.212,4.667,5.735,5.03,4.807,5.706,3.788,4.242,0,3090148.0,1.900,1.122,1.511,1.120,1.527,1.635,1.446,1.451,1.129,abdominal
abduct,6,4.677,2.177,3.065,4.441,4.265,4.364,5.03,4.438,5.0,0,126225.0,2.468,1.424,2.299,1.718,1.651,1.936,1.218,1.368,1.000,abduct
abducted,8,5.344,1.969,2.871,4.813,4.212,5.406,5.29,5.161,4.546,0,837949.0,2.922,0.918,2.549,1.285,1.871,1.730,1.300,1.648,1.499,abducted
abduction,9,5.324,1.618,2.886,4.912,4.8,4.441,5.114,5.059,4.686,0,1188510.0,2.575,0.805,2.122,1.805,1.802,1.802,1.389,1.533,1.008,abduction
aberration,10,4.852,3.269,4.852,3.208,2.84,2.485,6.414,4.72,4.32,0,443062.0,2.505,1.788,1.799,1.802,1.994,1.940,1.067,1.662,0.786,aberration
abide,5,3.875,5.375,4.5,2.485,2.364,4.226,5.697,4.033,4.147,0,3722809.0,1.816,1.516,2.345,1.131,1.367,1.679,1.267,1.354,1.115,abide
ability,7,5.471,6.912,6.971,2.941,2.515,6.0,4.061,5.029,4.206,0,52004289.0,1.959,1.095,1.465,1.305,1.258,1.015,1.278,1.200,1.231,ability
able,4,4.853,7.114,6.886,3.182,3.057,6.206,3.588,4.4,3.647,0,109389038.0,2.171,1.469,1.953,1.766,1.530,1.158,1.240,1.642,0.871,able
abode,5,3.897,5.71,5.8,4.464,4.452,3.303,6.226,4.148,3.567,0,1246541.0,1.807,1.349,1.514,2.096,2.061,1.766,0.906,1.079,1.023,abode
abortion,8,3.914,2.588,5.429,5.364,4.303,4.938,6.118,4.939,2.618,0,9397315.0,2.989,1.611,2.811,1.738,1.946,1.784,0.993,1.757,1.237,abortion
abroad,6,6.548,6.743,5.118,4.559,4.486,6.03,3.857,5.5,3.882,0,14837382.0,2.077,1.317,1.762,1.459,1.730,1.141,1.476,1.312,0.582,abroad
abrupt,6,4.794,3.636,4.629,2.829,2.706,5.235,5.371,4.4,4.6,0,920475.0,2.139,0.731,1.822,1.298,1.425,1.373,1.289,1.314,0.962,abrupt
absorb,6,4.484,5.438,5.125,3.188,3.576,5.033,4.688,3.719,3.793,0,2378096.0,1.584,1.368,1.166,1.356,1.724,0.948,1.044,1.281,0.713,absorb
abstract,8,4.743,5.294,4.914,1.714,2.171,4.771,5.829,4.324,3.771,0,55951880.0,2.116,1.340,1.888,1.578,1.464,1.790,1.383,1.548,0.959,abstract
absurd,6,5.452,3.563,4.719,2.065,2.375,4.793,5.281,4.531,4.1,0,2148981.0,1.965,1.657,1.546,0.878,1.556,1.562,1.231,1.145,0.746,absurd
absurdly,8,4.515,3.394,4.697,2.515,2.469,4.25,5.455,4.727,4.0,0,201254.0,1.956,0.983,1.527,1.306,1.436,1.969,1.104,1.052,1.206,absurdly
abundance,9,4.714,6.576,6.2,3.229,3.971,4.559,6.114,6.143,3.6,0,4870991.0,2.373,1.256,1.564,1.774,1.748,1.630,0.949,0.960,0.932,abundance
abundant,8,5.235,7.0,6.094,3.0,2.829,5.094,6.143,5.758,3.882,0,3441495.0,2.402,1.633,1.665,1.435,1.812,1.739,0.930,1.326,1.323,abundant
abuse,5,4.879,1.563,2.5,3.419,3.909,5.303,5.177,4.743,5.061,0,36269685.0,2.783,1.499,1.768,1.476,1.712,1.359,1.271,1.679,1.347,abuse
abuser,6,5.059,1.5,3.743,4.667,5.029,4.441,5.657,5.486,5.571,0,423584.0,3.217,1.036,2.902,1.735,1.665,1.752,1.013,1.402,1.050,abuser
abyss,5,6.226,3.242,3.433,3.177,4.235,3.242,6.182,6.242,4.424,0,1152408.0,1.963,1.970,2.124,1.740,2.157,1.907,0.869,1.016,1.371,abyss
academic,8,5.733,7.313,5.788,4.03,4.258,6.2,4.939,5.515,4.303,0,54886061.0,2.190,1.402,2.384,1.566,1.646,0.833,1.278,1.131,1.267,academic
accelerate,10,6.794,6.382,6.794,4.5,4.625,6.091,5.152,4.849,4.882,0,3199272.0,1.491,1.189,1.471,1.685,1.576,1.334,1.158,1.329,1.182,accelerate
accent,6,5.529,5.629,5.182,3.6,3.618,5.875,4.059,4.029,3.853,0,6036395.0,1.898,1.267,1.678,1.694,2.029,1.386,1.136,1.071,0.912,accent
accept,6,5.182,6.688,5.969,3.313,3.031,6.194,4.235,4.4,3.273,0,43171429.0,1.800,1.333,1.896,1.722,1.896,1.060,1.031,1.052,0.930,accept
acceptance,10,4.743,7.5,5.943,2.794,2.559,5.543,4.8,5.343,3.171,0,36864919.0,2.005,1.144,2.097,1.430,1.117,1.401,1.283,1.170,0.878,acceptance
access,6,4.121,6.353,5.794,3.455,3.25,5.469,4.515,3.879,3.941,0,217986984.0,1.805,1.082,1.711,1.616,1.173,1.224,1.234,1.066,0.765,access
accident,8,5.4,2.765,3.029,4.343,4.943,6.235,2.882,4.971,4.114,0,18699760.0,2.180,1.113,1.524,1.567,1.851,0.909,1.345,1.276,0.747,accident
accidental,10,4.382,3.941,4.182,2.941,3.177,5.906,3.324,4.029,3.939,0,3914021.0,1.847,1.162,1.800,1.282,1.524,1.100,1.277,1.317,1.099,accidental
accordion,9,4.0,5.727,5.441,6.5,6.273,3.794,4.265,3.543,4.147,0,1220579.0,2.719,1.136,1.648,0.947,1.483,1.430,1.379,1.518,0.912,accordion
accountant,10,2.9,4.433,4.367,5.813,5.226,4.655,5.313,3.966,4.9,0,4289265.0,1.739,1.023,1.643,1.014,1.453,1.917,1.379,1.377,1.076,accountant
accuse,6,5.742,2.742,4.844,2.344,2.452,5.035,4.563,4.967,4.167,0,1048371.0,1.813,0.717,2.048,0.888,1.388,1.450,1.144,1.329,0.898,accuse
accused,7,4.765,2.546,2.971,3.088,3.382,5.125,4.6,4.314,4.656,0,8659913.0,2.289,1.233,1.807,1.463,1.609,1.615,1.074,1.326,0.922,accused
ace,3,5.735,7.333,6.129,3.219,3.697,4.393,3.912,4.182,4.433,0,11134733.0,2.091,1.247,1.385,1.536,1.992,1.698,1.337,1.604,1.116,ace
ache,4,5.167,2.75,3.313,3.515,3.063,6.039,3.781,3.613,3.903,0,1069323.0,1.845,0.829,1.261,1.520,1.819,0.854,1.243,1.360,1.027,ache
aches,5,4.063,2.871,2.813,3.813,3.219,5.655,4.0,3.968,3.867,0,1116644.0,1.968,0.975,1.102,1.685,1.653,1.153,1.369,1.470,0.957,aches
achieve,7,6.424,7.75,7.091,2.879,2.677,5.75,4.515,5.233,4.032,0,27332769.0,1.955,1.436,1.730,1.430,1.532,1.022,1.077,1.334,0.897,achieve
achieved,8,6.143,7.886,7.441,2.5,3.088,6.029,4.571,5.343,4.029,0,17086330.0,2.072,1.430,1.418,1.266,1.772,1.200,1.294,1.194,1.341,achieved
achievement,11,6.333,7.938,7.452,2.879,3.875,6.2,4.455,5.71,3.906,0,12845656.0,2.383,1.478,1.187,1.387,1.746,1.137,1.208,1.325,1.100,achievement
acorn,5,4.364,5.742,5.5,6.724,6.517,4.484,3.061,1.879,3.714,0,1825652.0,1.755,1.106,1.173,0.581,0.676,1.916,1.099,1.451,0.700,acorn
acquire,7,4.419,6.257,5.939,3.059,2.657,5.121,5.829,4.086,4.161,0,8803690.0,2.028,1.104,1.791,1.434,1.620,1.387,0.910,1.105,0.846,acquire
acrobat,7,5.182,6.031,5.129,5.875,6.032,4.455,4.177,3.618,3.531,0,14213883.0,2.249,1.159,1.497,1.111,0.822,1.892,1.070,1.164,1.299,acrobat
activate,8,5.242,6.471,6.343,3.677,3.294,5.515,4.576,4.212,4.156,0,5014202.0,2.349,1.169,1.851,1.761,1.856,1.480,1.016,1.122,1.228,activate
active,6,6.531,7.0,6.581,3.75,4.75,6.484,3.581,4.774,4.156,0,84084764.0,1.785,0.901,1.130,1.323,1.677,0.757,1.071,1.385,1.093,active
activity,8,6.086,6.629,6.286,3.97,4.677,5.75,3.4,4.429,4.03,0,79633609.0,1.933,1.044,1.485,1.167,1.181,1.000,1.020,1.050,1.000,activity
actor,5,5.515,6.281,5.618,5.7,5.97,6.065,3.371,4.455,5.588,0,16282891.0,2.204,1.419,1.715,1.187,1.141,1.435,0.865,1.373,1.216,actor
actress,7,5.719,5.939,5.121,6.031,6.576,5.846,3.412,4.147,1.303,0,7010056.0,2.080,1.650,1.665,1.311,0.605,1.433,1.088,1.216,0.627,actress
actual,6,4.121,5.559,5.235,3.118,2.636,6.242,3.941,4.206,4.118,0,42552937.0,1.665,0.945,1.628,1.827,1.872,0.889,1.259,1.301,1.157,actual
actually,8,4.294,5.543,5.177,2.677,2.2,6.235,3.824,4.029,3.088,0,69444655.0,1.948,0.873,1.445,1.156,1.283,1.238,1.248,1.014,1.095,actually
acute,5,4.235,4.941,4.912,3.235,2.824,4.182,5.765,2.677,3.618,0,11128841.0,2.045,1.235,1.560,1.610,1.757,1.946,1.139,1.490,0.971,acute
adage,5,3.118,5.222,5.222,3.588,2.235,2.088,6.136,3.647,4.053,0,419158.0,2.055,0.533,1.227,1.458,1.832,1.837,1.254,1.026,1.146,adage
adapt,5,4.188,6.086,5.8,3.114,3.029,5.324,4.743,4.2,3.824,0,4675567.0,1.911,1.461,1.786,1.282,1.444,1.470,1.130,1.116,0.785,adapt
add,3,4.0,5.647,5.618,4.286,3.943,6.265,2.353,3.714,4.114,0,387231739.0,1.942,0.836,1.237,1.485,1.881,0.949,0.836,1.504,0.708,add
addict,6,4.857,2.171,3.086,4.4,5.0,5.273,5.4,4.771,4.886,0,2910117.0,2.307,1.108,2.234,1.694,1.673,1.523,1.020,1.514,1.063,addict
addicted,8,6.094,2.424,2.364,3.515,3.121,5.727,4.969,5.484,4.969,0,2386786.0,2.170,0.922,1.936,1.617,1.822,1.523,1.237,1.317,0.984,addicted
addition,8,3.4,5.457,5.629,3.677,3.382,5.412,3.371,4.314,3.8,0,73434482.0,1.870,0.873,1.017,1.827,1.732,1.665,1.044,1.063,0.709,addition
address,7,3.206,5.382,5.364,5.059,4.343,5.839,3.371,3.912,4.0,1,261872866.0,1.875,0.768,1.410,1.327,1.851,1.568,1.123,1.292,0.686,address
adequate,8,3.778,5.333,4.765,2.5,2.912,5.281,5.571,3.794,4.056,0,15023940.0,1.718,1.564,1.783,1.399,1.652,1.772,1.420,1.301,1.246,adequate
adjective,9,3.636,5.394,4.844,3.594,2.844,5.613,4.182,3.455,3.727,0,1177613.0,1.738,0.851,1.523,1.765,1.752,1.287,0.968,1.479,0.930,adjective
adjust,6,4.364,5.727,5.667,3.094,3.0,5.897,4.294,3.758,3.882,0,9115016.0,1.702,1.262,1.511,1.378,1.688,1.241,1.125,1.129,0.900,adjust
admiral,7,5.029,5.882,6.613,5.706,5.606,3.969,4.906,4.909,5.97,0,2894800.0,1.993,1.471,2.281,1.486,1.613,1.896,1.355,1.379,0.937,admiral
admire,6,6.294,7.625,5.875,2.71,3.75,6.1,4.667,4.625,3.088,0,2196307.0,1.871,1.139,1.833,1.507,1.920,0.978,1.172,0.781,1.463,admire
admired,7,6.6,7.882,6.714,2.882,2.853,5.571,4.657,4.971,3.324,0,1382872.0,1.534,0.993,2.159,1.388,1.517,1.154,1.308,1.098,1.490,admired
adopt,5,4.387,6.094,5.469,3.645,3.125,4.867,4.25,4.452,2.786,0,11272339.0,1.559,1.665,1.561,1.449,1.536,1.586,0.968,1.131,0.860,adopt
adorable,8,6.936,7.781,5.375,2.258,3.469,5.63,4.281,4.31,2.3,0,2592855.0,1.390,1.166,1.996,0.717,1.581,1.024,1.586,1.556,0.936,adorable
adore,5,6.516,8.226,5.516,2.344,3.344,5.179,4.219,4.936,2.69,0,1176240.0,1.847,0.831,2.138,1.019,1.651,1.283,1.192,1.294,1.117,adore
adult,5,5.059,5.882,6.091,4.933,5.433,6.552,2.706,4.452,4.156,0,97583096.0,1.909,1.207,2.165,1.413,1.283,0.674,0.824,1.103,0.905,adult
adultery,8,5.912,1.882,4.412,4.029,4.235,5.0,6.147,5.324,4.324,0,976493.0,2.672,1.207,2.415,1.689,1.956,1.688,1.033,1.254,1.408,adultery
adults,6,4.559,5.543,5.629,5.457,6.257,6.546,2.314,4.571,4.343,0,32847475.0,2.278,0.996,2.179,1.662,1.024,0.820,0.919,1.440,0.754,adults
advanced,8,5.382,6.606,6.118,2.765,3.088,6.094,4.882,5.088,4.031,0,173422161.0,1.971,1.938,1.922,1.214,1.616,1.100,1.345,1.222,1.045,advanced
advantage,9,6.531,7.303,7.194,2.879,2.719,5.893,4.727,5.258,4.69,0,32963469.0,1.000,1.167,1.490,1.409,1.566,1.047,0.993,0.983,0.875,advantage
adventure,9,7.853,7.971,7.313,2.912,4.743,5.576,2.941,6.118,4.794,0,34807033.0,1.517,0.985,1.828,1.541,1.746,1.256,1.056,0.993,0.832,adventure
adverb,6,2.938,5.094,5.235,3.314,2.529,5.0,4.647,3.147,4.03,0,277019.0,1.870,0.843,1.031,1.686,1.538,1.391,0.967,1.517,0.834,adverb
adverse,7,4.371,3.091,3.636,2.455,2.529,4.743,5.765,4.765,4.353,0,11157534.0,2.256,1.464,1.534,1.519,1.613,1.778,1.395,1.395,1.082,adverse
adversity,9,4.8,3.774,4.3,2.484,2.567,4.161,6.226,5.167,4.5,0,769501.0,2.330,1.736,2.084,1.103,1.283,2.018,0.941,1.267,1.148,adversity
advice,6,4.088,6.229,5.229,2.353,2.882,6.094,4.657,4.212,3.0,0,71268723.0,1.721,1.267,2.030,1.185,1.676,1.308,1.013,1.365,1.095,advice
advise,6,4.182,6.441,5.813,3.697,2.788,5.677,4.571,4.323,3.25,0,8325087.0,1.585,1.241,1.991,1.507,1.273,1.228,1.271,1.089,1.173,advise
advisor,7,3.364,6.029,5.147,5.353,4.235,5.281,5.441,4.061,4.171,0,25719984.0,1.823,0.954,2.017,1.326,1.716,1.463,1.193,1.099,1.404,advisor
advisors,8,3.606,6.0,4.774,4.71,4.625,5.781,5.677,4.71,4.032,0,6279269.0,2.074,1.414,1.736,1.708,1.798,1.386,1.228,1.053,1.332,advisors
aeroplane,9,4.914,5.941,4.529,6.706,6.824,6.25,2.343,5.882,5.114,0,493334.0,2.196,1.305,1.440,0.620,0.452,0.829,1.120,1.623,1.036,aeroplane
afar,4,3.781,4.294,4.457,3.0,3.788,4.125,5.118,4.471,3.75,0,766928.0,1.883,1.296,1.380,1.566,1.610,1.965,1.132,1.719,0.901,afar
affair,6,5.969,2.438,4.441,3.394,4.424,5.688,5.618,4.758,4.235,0,5545856.0,2.391,1.321,2.403,1.434,1.810,1.570,1.000,1.371,1.816,affair
affect,6,4.5,4.941,5.177,2.412,2.177,5.559,4.485,4.242,3.618,0,24406141.0,2.145,1.027,2.203,1.166,1.200,1.355,1.209,1.256,1.000,affect
affection,9,6.824,8.177,5.588,3.118,4.6,5.882,4.706,5.441,1.771,0,2332707.0,2.162,0.954,2.184,1.952,1.727,1.051,1.318,1.241,0.680,affection
affectionate,12,7.206,8.0,6.273,3.471,4.706,6.121,4.97,5.471,2.147,0,713693.0,1.795,0.853,1.780,1.819,1.807,1.094,1.403,0.776,1.088,affectionate
afford,6,4.853,5.879,5.2,3.576,3.364,5.706,4.314,4.273,4.457,0,10348210.0,2.171,1.996,2.240,1.688,1.453,1.466,1.430,1.309,1.051,afford
affordable,10,4.774,6.8,4.857,3.2,3.171,5.971,4.771,3.588,3.941,0,21650006.0,2.027,1.327,1.693,1.369,1.576,1.071,1.311,1.115,0.802,affordable
afraid,6,5.514,2.206,2.706,2.686,4.588,6.094,2.6,5.265,3.353,0,10858793.0,2.534,0.832,1.791,1.368,1.717,1.259,0.962,1.196,1.108,afraid
after,5,4.382,5.143,4.576,3.314,2.743,5.781,2.257,3.971,4.059,0,372948094.0,1.847,0.960,1.156,1.489,1.480,1.452,0.805,1.134,0.639,after
afterlife,9,5.0,5.212,3.455,2.303,2.939,4.939,4.697,5.849,3.879,0,657149.0,2.361,2.114,1.986,1.642,1.808,1.556,1.337,1.351,0.807,afterlife
age,3,3.514,4.939,4.714,3.971,3.286,6.4,1.971,4.471,3.914,0,132725767.0,1.763,0.983,1.750,1.871,1.891,1.020,0.747,1.500,1.079,age
aged,4,2.857,3.879,3.849,3.441,4.371,5.485,4.371,4.424,4.429,0,18057587.0,1.659,1.665,2.217,1.594,1.623,1.598,1.790,1.759,1.226,aged
agent,5,4.54,5.109,5.213,4.672,4.349,4.95,4.788,4.017,4.836,0,57103658.0,1.780,1.120,1.728,1.300,1.524,1.755,1.273,1.133,0.995,agent
aggression,10,6.182,2.281,5.242,3.548,4.515,4.815,5.152,5.484,5.969,0,2539892.0,2.418,1.305,2.753,1.682,1.940,1.467,1.077,1.341,0.810,aggression
aggressive,10,6.455,2.094,5.909,3.03,4.094,5.533,4.636,5.226,6.033,0,7345918.0,2.105,1.182,2.442,1.114,1.684,1.310,1.123,1.313,0.875,aggressive
agile,5,6.333,6.941,5.788,3.606,4.5,4.273,5.382,3.771,3.303,0,1808955.0,1.837,1.136,1.919,1.669,1.613,1.797,1.261,1.375,1.467,agile
agility,7,5.939,6.778,6.543,3.515,3.657,4.781,5.333,4.206,4.086,0,1810572.0,1.906,1.204,1.872,1.617,2.013,1.866,1.269,1.324,1.381,agility
agony,5,5.515,1.546,3.091,3.152,4.323,5.29,4.242,5.515,4.063,0,1543205.0,2.476,0.891,1.913,1.760,1.924,1.590,1.129,1.131,1.298,agony
agree,5,5.382,7.382,6.794,3.118,3.333,6.781,3.118,4.727,3.647,0,47500911.0,1.476,1.394,1.549,1.641,1.682,0.483,0.758,1.213,0.936,agree
agreement,9,5.531,7.714,5.485,3.171,3.727,5.906,4.647,4.879,3.5,0,111356320.0,2.121,1.002,2.258,1.521,1.895,1.234,1.210,1.343,1.118,agreement
aid,3,5.219,6.909,5.031,4.364,4.097,5.6,4.424,4.455,3.71,0,50022454.0,1.763,1.334,1.705,1.534,1.489,1.281,1.256,1.157,1.083,aid
aim,3,4.794,6.606,6.829,2.677,2.941,5.909,3.857,4.206,4.265,1,28951240.0,2.069,1.229,1.748,1.509,1.697,1.111,1.334,1.255,0.851,aim
air,3,4.813,6.719,4.933,4.25,2.969,6.182,2.5,4.75,3.621,0,160850401.0,1.845,1.463,1.672,1.458,1.723,1.302,1.000,2.208,0.887,air
airplane,8,5.265,5.794,5.455,6.706,6.849,6.294,2.177,5.735,5.091,0,5216750.0,2.279,1.568,2.061,0.787,0.435,1.151,0.746,1.852,1.264,airplane
airport,7,5.767,5.387,5.531,6.5,6.581,5.63,3.094,5.719,4.407,0,67473261.0,1.856,1.407,1.904,0.885,0.610,1.788,0.980,1.375,0.681,airport
aisle,5,3.613,5.226,4.71,5.719,5.438,4.867,4.531,3.781,3.345,0,1917319.0,1.826,1.007,1.223,1.038,1.029,1.455,1.172,1.111,0.800,aisle
albatross,9,4.148,5.127,5.29,6.453,5.576,2.879,5.554,4.206,4.678,0,553191.0,2.401,1.148,1.620,1.172,1.679,1.847,1.425,1.585,0.947,albatross
album,5,4.031,5.767,5.323,5.936,5.633,5.692,3.936,2.875,4.148,0,77914316.0,1.992,0.989,0.894,1.105,0.948,1.435,1.105,1.341,0.890,album
alcohol,7,5.758,5.219,4.882,6.412,6.294,6.242,4.829,4.171,4.576,0,25061615.0,2.175,1.763,1.967,0.809,1.072,1.349,1.363,1.363,0.818,alcohol
alcoholic,9,4.686,2.0,2.886,4.5,5.469,6.0,5.686,4.571,5.229,0,3947219.0,2.594,1.549,2.175,1.595,1.658,1.477,1.063,1.536,1.173,alcoholic
alert,5,6.625,5.719,6.194,3.182,3.387,5.231,4.406,4.966,4.308,0,32472727.0,1.949,1.644,2.007,1.403,1.559,1.310,1.247,1.299,0.722,alert
algebra,7,2.323,3.839,3.871,4.394,5.182,5.4,5.636,4.0,4.625,0,6837784.0,1.654,1.706,1.680,1.969,1.527,1.744,1.202,1.541,0.820,algebra
alien,5,5.091,4.686,4.2,4.324,5.824,5.03,3.314,4.529,4.857,0,10490554.0,2.789,1.582,1.600,2.068,1.855,1.800,1.036,1.118,1.175,alien
alimony,7,3.542,3.75,4.5,4.391,2.577,2.788,6.345,4.667,4.154,0,690884.0,1.802,1.430,1.658,1.763,1.364,1.903,1.211,1.089,1.634,alimony
alive,5,6.758,8.0,7.121,4.333,4.788,5.906,2.667,5.714,3.455,0,16064787.0,2.161,1.231,2.100,2.156,2.011,1.182,0.974,1.406,1.183,alive
all,3,3.625,5.469,5.419,3.313,2.969,6.645,1.807,5.839,4.0,0,2022459848.0,1.916,0.968,1.409,1.878,1.468,1.123,0.931,1.588,0.433,all
allergy,7,3.629,2.912,2.765,4.882,4.343,5.333,3.971,4.059,4.0,0,6453834.0,2.030,0.919,1.516,1.451,1.788,1.385,1.230,1.110,1.057,allergy
alley,5,4.125,4.088,4.324,6.125,6.182,5.0,3.794,3.429,4.424,0,4541475.0,1.900,0.951,1.077,1.293,0.999,1.503,1.023,1.661,0.653,alley
alligator,9,5.656,4.364,3.719,6.546,6.677,5.267,2.824,4.765,4.971,0,1417637.0,2.010,1.755,1.924,1.047,0.931,1.948,1.200,1.783,1.581,alligator
allow,5,4.088,6.206,5.727,2.971,2.412,6.129,2.824,4.059,3.882,0,67052567.0,1.853,1.079,2.219,1.485,1.353,0.942,1.248,1.235,0.832,allow
allowed,7,4.706,6.571,4.914,2.971,2.6,6.2,3.059,4.727,3.914,0,44526131.0,2.163,1.745,2.477,1.404,1.589,0.709,1.056,1.286,1.079,allowed
allure,6,5.833,6.0,4.97,2.581,2.594,3.5,6.382,4.594,2.879,0,1292131.0,2.252,1.461,1.899,1.409,1.320,1.719,0.940,1.343,1.320,allure
aloft,5,4.069,5.267,5.065,3.379,3.138,3.03,5.774,4.0,3.897,0,497342.0,1.893,0.854,1.216,1.424,1.676,1.749,1.210,1.330,0.803,aloft
alone,5,3.824,2.714,4.265,3.371,4.4,6.03,2.743,4.029,3.886,0,39326417.0,2.407,1.446,2.266,1.725,1.660,1.267,1.078,2.065,0.666,alone
aloof,5,4.4,4.2,5.097,2.138,3.172,3.382,5.767,3.467,4.063,0,294291.0,2.123,1.352,1.940,1.008,1.840,1.766,0.883,1.455,1.248,aloof
aloud,5,5.457,5.314,5.857,3.8,3.486,5.484,3.429,4.886,3.941,0,3743858.0,1.991,1.214,1.659,1.670,1.857,1.074,1.077,1.410,1.162,aloud
altar,5,3.758,4.719,4.968,5.875,6.0,3.828,4.364,4.194,4.107,0,2627835.0,1.970,1.988,1.909,1.218,1.203,1.763,1.432,1.203,1.448,altar
alter,5,4.727,5.242,4.719,3.906,4.219,4.571,4.333,4.0,3.5,0,7831337.0,1.462,1.232,1.824,2.112,2.103,1.450,1.318,1.275,0.885,alter
altitude,8,5.061,5.152,5.606,4.03,3.818,4.813,5.364,5.697,4.871,0,4582981.0,2.461,1.048,1.922,1.547,1.850,1.776,1.123,1.507,1.008,altitude
amateur,7,3.824,4.147,3.657,3.229,3.086,5.029,5.6,3.029,4.286,0,42265916.0,1.992,0.845,1.820,1.725,1.628,1.699,1.020,1.082,0.848,amateur
amaze,5,6.529,7.5,6.364,2.353,2.771,5.882,4.257,5.353,3.206,0,791672.0,2.239,1.219,1.772,0.936,1.742,1.255,1.556,1.234,1.324,amaze
amazing,7,7.147,8.406,6.824,2.781,2.781,6.344,3.143,5.765,3.324,0,26630190.0,1.498,1.114,1.599,1.596,1.536,1.019,0.639,1.002,1.254,amazing
ambassador,10,4.781,6.125,5.871,5.267,4.656,4.345,5.719,4.839,5.258,0,6071252.0,1.833,1.293,2.211,1.263,1.428,1.603,0.943,1.370,0.949,ambassador
amber,5,4.933,5.733,4.645,5.188,5.129,4.724,4.438,3.387,2.857,0,11065507.0,1.672,1.124,0.863,1.648,1.540,1.779,1.273,1.068,0.990,amber
ambition,8,6.879,7.686,7.559,2.294,3.429,5.849,5.029,6.114,4.485,0,2592749.0,2.056,1.282,1.630,1.563,1.871,1.459,0.971,1.214,1.438,ambition
ambulance,9,5.412,4.722,3.429,6.771,6.886,6.515,2.889,4.677,4.556,0,4363682.0,2.328,2.673,1.841,0.420,0.318,0.892,1.410,1.640,0.896,ambulance
ammunition,10,5.818,2.849,6.188,5.97,5.871,5.03,5.485,4.909,5.781,0,2581750.0,2.194,1.500,2.297,0.870,1.362,1.800,1.184,1.815,1.023,ammunition
amount,6,3.647,5.618,5.484,3.912,3.182,6.485,3.265,4.485,4.125,0,92039679.0,1.939,1.058,1.365,1.738,1.507,0.657,1.066,1.158,0.927,amount
amphibian,9,4.086,5.412,5.235,6.364,6.03,4.032,4.727,3.353,4.0,0,569502.0,1.857,1.166,1.113,0.731,1.446,1.576,1.188,1.780,0.875,amphibian
amplifier,9,5.9,5.871,5.903,5.563,5.226,4.214,5.875,4.645,4.552,0,6444590.0,2.087,0.793,1.489,1.144,1.601,1.634,1.083,1.536,0.894,amplifier
amplify,7,5.97,5.758,6.455,3.879,3.531,4.871,5.636,5.484,4.485,0,572038.0,2.263,1.181,1.689,1.771,1.854,1.497,1.150,1.215,1.131,amplify
amputate,8,4.714,2.294,3.743,5.177,5.629,4.206,5.2,5.059,4.818,0,38766.0,2.679,1.563,2.322,1.706,1.551,1.937,1.410,1.608,0.796,amputate
amuse,5,6.059,7.412,6.0,2.879,3.688,5.879,4.088,4.424,3.853,0,554922.0,1.714,1.088,1.572,1.122,1.379,1.094,1.172,1.129,0.974,amuse
amusement,9,6.486,7.629,6.543,3.771,4.571,5.794,4.088,4.8,3.629,0,3661819.0,2.183,0.929,1.556,1.514,1.678,1.183,1.483,1.190,1.098,amusement
amusing,7,6.088,7.818,6.206,2.677,3.765,6.125,4.5,4.177,4.088,0,2419640.0,2.201,1.058,1.779,1.089,1.783,0.927,1.289,1.175,0.981,amusing
analogue,8,3.394,4.971,5.031,3.914,3.382,3.588,5.824,3.514,4.382,0,2659278.0,1.906,0.822,1.287,1.461,1.732,1.972,1.361,0.906,0.728,analogue
analyst,7,3.5,5.121,5.364,4.714,3.824,4.344,6.206,3.677,4.484,0,16918240.0,2.186,0.686,1.473,1.631,1.757,1.978,0.832,1.280,1.012,analyst
anchor,6,3.629,5.171,5.143,6.471,6.618,5.242,3.571,4.382,5.343,0,8633382.0,1.838,1.159,2.257,0.848,0.971,1.596,1.178,1.627,1.013,anchor
ancient,7,3.788,5.613,4.516,3.788,4.355,5.071,4.03,5.344,4.303,0,23226415.0,2.253,1.210,1.563,1.754,1.752,1.486,1.446,1.449,1.243,ancient
